StudentID,Name,Gender,AttendanceRate,StudyHoursPerWeek,PreviousGrade,ExtracurricularActivities,ParentalSupport,FinalGrade,Online Classes Taken
1.0,John,1,85.0,15.0,78.0,1,0,80.0,False
2.0,Sarah,0,90.0,20.0,85.0,2,2,87.0,True
3.0,Alex,1,78.0,10.0,65.0,0,1,68.0,False
4.0,Michael,1,92.0,25.0,90.0,3,0,92.0,False
5.0,Emma,0,88.0,18.0,82.0,2,2,85.0,True
6.0,Olivia,0,95.0,30.0,88.0,1,0,80.0,False
7.0,Daniel,1,70.0,8.0,60.0,0,1,62.0,False
8.0,Sophia,0,88.0,17.0,77.0,1,2,78.0,True
9.0,James,1,82.0,12.0,70.0,2,1,72.0,False
10.0,Isabella,0,91.0,22.0,86.0,3,0,88.0,True
2824.0,Shannon Harrison,1,88.0,25.0,90.0,0,0,87.0,True
7912.0,Peter Davila,1,85.0,20.0,78.0,3,1,88.0,False
4611.0,Katherine Gray,0,91.0,18.0,78.0,0,1,62.0,True
6514.0,Megan Miller,1,90.0,8.0,85.0,1,2,88.0,False
5396.5,James Williams,1,70.0,20.0,70.0,2,1,88.0,True
2139.0,Derrick Alexander,1,88.0,18.0,85.0,3,0,62.0,False
5396.5,Courtney Clark,1,95.0,25.0,82.0,2,1,68.0,True
8573.0,James Smith,0,88.0,12.0,90.0,1,0,92.0,False
5386.0,James Reynolds,1,92.0,22.0,88.0,3,1,78.0,False
3340.0,Brittany Sutton,0,78.0,25.0,70.0,2,2,88.0,False
6930.0,Annette Medina,1,78.0,12.0,77.0,2,0,87.0,False
2040.0,James Duncan,0,70.0,22.0,77.0,2,2,72.0,True
9797.0,Donna Taylor,0,95.0,20.0,82.0,1,0,78.0,False
9201.0,David Robertson,1,82.0,20.0,82.0,1,1,80.0,True
9837.0,Susan Brown,1,91.0,30.0,77.0,1,0,90.0,True
1949.0,Jessica Ortega,1,91.0,20.0,78.0,1,0,72.0,False
3705.0,Jeremy Hall,0,88.0,18.0,60.0,3,1,92.0,False
8177.0,Peter Jones,0,90.0,25.0,90.0,2,2,80.0,True
1117.0,Michael Sampson,1,85.0,25.0,78.0,1,2,87.0,False
4510.0,Daniel Erickson,1,91.0,22.0,77.0,3,2,62.0,False
6804.0,David Aguilar,0,70.0,17.0,78.0,2,0,80.0,True
4139.0,Benjamin Vance,1,82.0,17.0,65.0,0,0,85.0,False
2604.0,Yolanda Chen,1,82.0,15.0,85.0,3,0,80.0,False
1960.0,Kristina Douglas,1,88.0,15.0,60.0,2,2,85.0,False
3536.0,Scott Davidson,1,88.0,25.0,78.0,3,1,72.0,True
1821.0,Alexandra Harrington,0,82.0,12.0,65.0,1,1,87.0,True
4853.0,Richard Johnson,0,90.0,22.0,90.0,3,1,80.0,False
5396.5,Christopher Chapman,1,95.0,25.0,82.0,0,0,85.0,True
1152.0,Jerry Browning,0,91.0,22.0,85.0,2,1,92.0,False
2127.0,Carrie Page,1,95.0,18.0,65.0,1,1,85.0,True
5905.0,Michelle Benjamin,1,78.0,18.0,85.0,2,1,72.0,True
6617.0,James Woods,1,88.0,12.0,77.0,2,0,87.0,True
1058.0,Angela Dunn,0,78.0,18.0,65.0,1,1,62.0,True
3442.0,Nathan Riley,1,95.0,22.0,70.0,0,2,68.0,True
6862.0,Shelby Mahoney,1,92.0,20.0,88.0,2,2,88.0,True
3900.0,Andrea Frey,0,85.0,10.0,88.0,0,1,92.0,True
7267.0,Justin Martin,1,85.0,25.0,90.0,1,2,85.0,True
1387.0,Mark Hartman,1,70.0,30.0,82.0,2,2,90.0,False
1452.0,Antonio Hansen,1,88.0,10.0,86.0,2,0,87.0,False
8149.0,Lynn Anderson,1,70.0,22.0,90.0,2,0,62.0,True
6967.0,Michael Cooley,0,90.0,30.0,86.0,1,1,87.0,False
7691.0,Mitchell Sanders,0,70.0,18.0,70.0,0,0,62.0,True
5930.0,Maria Cross,0,82.0,18.0,82.0,1,0,62.0,False
8618.0,Lisa Castillo,0,85.0,25.0,70.0,1,1,68.0,False
2530.0,Theresa Rodriguez,1,88.0,25.0,90.0,0,0,80.0,True
8461.0,Kimberly Wood,0,91.0,25.0,60.0,1,2,92.0,True
2746.0,Patricia Cox,0,92.0,10.0,70.0,1,0,72.0,False
3184.0,Kimberly Blair,0,82.0,12.0,86.0,1,2,88.0,False
